ID,Codigo,Descripcion,Tipo,FechaExtraccion
242,07-300-3,Alto Riesgo Obstetrico,E,2026-01-31 18:05:41.060000
243,07-002,Anestesiología,E,2026-01-31 18:05:41.063000
244,07-102-0,Broncopulmonar,E,2026-01-31 18:05:41.067000
245,07-016,Enfermedades Respiratorias Del Adulto (Broncopulmonar),E,2026-01-31 18:05:41.070000
246,07-017,Enfermedades Respiratorias Pediátricas (Broncopulmonar Pediatrico),E,2026-01-31 18:05:41.070000
247,07-209-0,Cardiocirugía,E,2026-01-31 18:05:41.077000
248,07-103-0,Cardiologia,E,2026-01-31 18:05:41.083000
249,09-001,Cirugia Y Traumatologia Buco Maxilofacial,E,2026-01-31 18:05:41.090000
250,07-201-0,Cirugía Abdominal,E,2026-01-31 18:05:41.093000
251,07-004,Cirugia General,E,2026-01-31 18:05:41.097000
252,09-007-0,Cirugía Bucal,E,2026-01-31 18:05:41.100000
253,07-005,"Cirugía De Cabeza, Cuello Y Maxilofacial",E,2026-01-31 18:05:41.107000
254,07-202-2,Mastologia,E,2026-01-31 18:05:41.107000
255,07-009,Cirugia Pediatrica,E,2026-01-31 18:05:41.110000
256,07-005-0,Cirugía Máxilo Facia,E,2026-01-31 18:05:41.117000
257,07-204-0,Cirugía Plástica,E,2026-01-31 18:05:41.120000
258,07-205-2,Cirugía Proctológica,E,2026-01-31 18:05:41.123000
259,07-206-0,Cirugía Tórax ,E,2026-01-31 18:05:41.127000
260,07-207-2,Cirugía Vascular Periférica,E,2026-01-31 18:05:41.130000
261,07-071,Medicina Paliativa Y De Manejo Del Dolor,E,2026-01-31 18:05:41.133000
262,07-111-0,Dermatología,E,2026-01-31 18:05:41.137000
263,07-104-0,Endocrinología,E,2026-01-31 18:05:41.140000
264,07-014,Endocrinología Adulto,E,2026-01-31 18:05:41.140000
265,07-015,Endocrinologia Pediatrica,E,2026-01-31 18:05:41.147000
266,09-003,Endodoncia,E,2026-01-31 18:05:41.150000
267,07-072,Medicina Reproductiva E Infertilidad,E,2026-01-31 18:05:41.150000
268,07-105-0,Gastroenterología,E,2026-01-31 18:05:41.153000
269,07-018,Gastroenterología Adulto,E,2026-01-31 18:05:41.157000
270,07-019,Gastroenterologia Pediátrica,E,2026-01-31 18:05:41.160000
271,07-020,Genética Clínica,E,2026-01-31 18:05:41.163000
272,07-113-2,Geriatría,E,2026-01-31 18:05:41.170000
273,07-058,Ginecología,E,2026-01-31 18:05:41.173000
274,07-023,Hematología,E,2026-01-31 18:05:41.177000
275,09-005,Implantologia Buco Maxilofacial,E,2026-01-31 18:05:41.183000
276,07-112-0,Infecciones Trasmisión Sexual ,E,2026-01-31 18:05:41.187000
277,07-118-0,Infectología,E,2026-01-31 18:05:41.190000
